Country,Cases
Yemen,1
Sao Tome and Principe,4
South Sudan,4
Bhutan,5
Burundi,5
Western Sahara,6
Mauritania,7
Papua New Guinea,7
Holy See,9
MS Zaandam,9
Gambia,10
Nicaragua,10
Suriname,10
Seychelles,11
Central African Republic,12
Saint Vincent and the Grenadines,12
Grenada,14
Saint Kitts and Nevis,15
Saint Lucia,15
Dominica,16
Namibia,16
Malawi,17
Belize,18
Fiji,18
Laos,19
Botswana,20
Timor-Leste,22
Antigua and Barbuda,23
Angola,24
Eswatini,24
Zimbabwe,25
Nepal,31
Chad,33
Mongolia,33
Eritrea,39
Mozambique,39
Syria,39
Sierra Leone,43
Guinea-Bissau,50
Libya,51
Benin,54
Uganda,56
Haiti,57
Bahamas,60
Guyana,65
Zambia,65
Cabo Verde,67
Maldives,69
Barbados,75
Equatorial Guinea,79
Liechtenstein,81
Togo,84
Monaco,94
Liberia,99
Sudan,107
Ethiopia,111
Trinidad and Tobago,114
Burma,119
Gabon,120
Madagascar,121
Cambodia,122
Brunei,138
Rwanda,147
Congo (Brazzaville),160
Paraguay,208
El Salvador,218
Jamaica,223
Somalia,237
Mali,246
Tanzania,254
Venezuela,256
Vietnam,268
Kenya,281
Guatemala,289
Sri Lanka,304
Montenegro,312
Mauritius,328
Congo (Kinshasa),332
Senegal,377
Georgia,402
Taiwan*,422
Jordan,425
Malta,431
West Bank and Gaza,449
San Marino,462
Honduras,477
Kosovo,510
Uruguay,535
Bolivia,564
Kyrgyzstan,568
Burkina Faso,581
Albania,584
Guinea,622
Niger,648
Costa Rica,662
Nigeria,665
Lebanon,677
Diamond Princess,712
Andorra,717
Latvia,739
Cyprus,772
Djibouti,846
Cote d'Ivoire,847
Tunisia,884
Bulgaria,929
Afghanistan,1026
Ghana,1042
Cuba,1087
Cameroon,1163
Slovakia,1173
North Macedonia,1225
Bosnia and Herzegovina,1309
Lithuania,1326
Slovenia,1335
Armenia,1339
Oman,1410
Azerbaijan,1436
New Zealand,1440
Estonia,1535
Iraq,1574
Uzbekistan,1627
Iceland,1773
Kazakhstan,1852
Croatia,1881
Bahrain,1907
Hungary,1984
Kuwait,1995
Greece,2245
Moldova,2548
Algeria,2718
Thailand,2792
Argentina,2941
Bangladesh,2948
Morocco,3046
South Africa,3300
Egypt,3333
Luxembourg,3558
Finland,3868
Colombia,3977
Panama,4467
Dominican Republic,4964
Malaysia,5425
Ukraine,5710
Qatar,6015
Belarus,6264
Philippines,6459
Australia,6547
Serbia,6630
Indonesia,6760
Czechia,6900
Norway,7156
United Arab Emirates,7265
Denmark,7711
Singapore,8014
Mexico,8261
Pakistan,8418
Romania,8936
Poland,9593
Ecuador,10128
Saudi Arabia,10484
Chile,10507
"Korea, South",10674
Japan,10797
Israel,13713
Sweden,14777
Austria,14795
Ireland,15652
Peru,16325
India,18539
Portugal,20863
Switzerland,27944
Netherlands,33588
Canada,37657
Belgium,39983
Brazil,40743
Russia,47121
Iran,83505
China,83817
Turkey,90980
United Kingdom,125856
Germany,147065
France,156480
Italy,181228
Spain,200210
US,784326
