country,dead,cases/1mp,deaths/1mp,tests,test/1mp
Iceland,10,"5,243",29,"45,093","132,143"
Faeroe Islands,0,"3,827",0,"6,375","130,467"
Falkland Islands,0,"3,448",0,337,"96,839"
UAE,56,885,6,"790,000","79,875"
Gibraltar,0,"3,948",0,"2,062","61,203"
Malta,3,"1,008",7,"26,811","60,721"
Luxembourg,83,"5,855",133,"36,891","58,933"
Bahrain,8,"1,303",5,"100,031","58,787"
San Marino,40,"14,765","1,179","1,929","56,851"
Estonia,45,"1,200",34,"45,181","34,059"
Cyprus,13,658,11,"40,745","33,747"
Isle of Man,16,"3,610",188,"2,674","31,447"
Lithuania,40,514,15,"83,591","30,706"
Portugal,820,"2,192",80,"300,525","29,473"
Brunei,1,315,2,"12,430","28,413"
Norway,194,"1,365",36,"152,095","28,055"
Israel,192,"1,710",22,"240,303","27,763"
Switzerland,"1,549","3,293",179,"227,554","26,293"
Italy,"25,549","3,142",423,"1,579,909","26,131"
Qatar,10,"2,695",3,"73,457","25,497"
Germany,"5,575","1,828",67,"2,072,669","24,738"
Liechtenstein,1,"2,124",26,900,"23,605"
Austria,522,"1,666",58,"205,835","22,854"
Ireland,794,"3,566",161,"111,584","22,598"
New Zealand,17,302,4,"108,238","22,446"
Slovenia,79,657,38,"45,703","21,984"
Latvia,11,412,6,"41,041","21,759"
Andorra,37,"9,357",479,"1,673","21,653"
Greenland,0,194,0,"1,150","20,257"
Denmark,394,"1,394",68,"116,621","20,134"
Spain,"22,157","4,556",474,"930,230","19,896"
Channel Islands,29,"2,997",167,"3,320","19,095"
Australia,78,262,3,"479,369","18,799"
Czechia,210,671,20,"195,725","18,277"
Hong Kong,4,138,0.5,"131,786","17,579"
Canada,"2,147","1,116",57,"634,917","16,822"
Russia,555,430,4,"2,401,616","16,457"
Singapore,12,"1,911",2,"94,796","16,203"
Belgium,"6,490","3,693",560,"179,666","15,502"
Bermuda,5,"1,590",80,949,"15,238"
USA,"50,243","2,679",152,"4,774,828","14,425"
Aruba,2,937,19,"1,535","14,377"
New Caledonia,0,63,0,"3,772","13,212"
Belarus,60,849,6,"122,543","12,968"
Finland,172,773,31,"71,000","12,814"
Venezuela,10,11,0.4,"347,236","12,211"
Cayman Islands,1,"1,004",15,778,"11,838"
Bhutan,0,9,0,"8,953","11,603"
S. Korea,240,209,5,"589,520","11,499"
Netherlands,"4,177","2,085",244,"187,000","10,913"
Djibouti,2,998,2,"10,619","10,748"
Azerbaijan,20,153,2,"108,221","10,674"
Slovakia,15,243,3,"57,421","10,517"
Mauritius,9,260,7,"12,835","10,092"
Turkey,"2,491","1,207",30,"791,906","9,390"
Sweden,"2,021","1,659",200,"94,500","9,357"
Maldives,0,200,0,"4,696","8,688"
UK,"18,738","2,034",276,"583,496","8,595"
Kazakhstan,22,124,1,"153,492","8,175"
Montenegro,5,503,8,"5,085","8,096"
Mayotte,4,"1,195",15,"2,100","7,698"
