day,confirmed,recovered,dead,recovered_ratio,dead_ratio
1,555,28,17,0.05,0.03
2,654,30,18,0.05,0.03
3,941,36,26,0.04,0.03
4,1434,39,42,0.03,0.03
5,2118,52,56,0.02,0.03
6,2927,61,82,0.02,0.03
7,5578,107,131,0.02,0.02
8,6166,126,133,0.02,0.02
9,8234,143,171,0.02,0.02
10,9927,222,213,0.02,0.02
11,12038,284,259,0.02,0.02
12,16787,472,362,0.03,0.02
13,19881,623,426,0.03,0.02
14,23892,852,492,0.04,0.02
15,27635,1124,564,0.04,0.02
16,30794,1487,634,0.05,0.02
17,34391,2011,719,0.06,0.02
18,37120,2616,806,0.07,0.02
19,40150,3244,906,0.08,0.02
20,42762,3946,1013,0.09,0.02
21,44802,4683,1113,0.1,0.02
22,45221,5150,1118,0.11,0.02
23,60368,6295,1371,0.1,0.02
24,66885,8058,1523,0.12,0.02
25,69030,9395,1666,0.14,0.02
26,71224,10865,1770,0.15,0.02
27,73258,12583,1868,0.17,0.03
28,75136,14352,2007,0.19,0.03
29,75639,16121,2122,0.21,0.03
30,76197,18177,2247,0.24,0.03
31,76819,18890,2251,0.25,0.03
32,78572,22886,2458,0.29,0.03
33,78958,23394,2469,0.3,0.03
34,79561,25227,2629,0.32,0.03
35,80406,27905,2708,0.35,0.03
36,81388,30384,2770,0.37,0.03
37,82746,33277,2814,0.4,0.03
38,84112,36711,2872,0.44,0.03
39,86011,39782,2941,0.46,0.03
40,88369,42716,2996,0.48,0.03
41,90306,45602,3085,0.5,0.03
42,92840,48228,3160,0.52,0.03
43,95120,51170,3254,0.54,0.03
44,97886,53796,3348,0.55,0.03
45,101801,55865,3460,0.55,0.03
46,105847,58358,3558,0.55,0.03
47,109821,60694,3802,0.55,0.03
48,113590,62494,3988,0.55,0.04
49,118620,64404,4262,0.54,0.04
50,125875,67003,4615,0.53,0.04
51,128352,68324,4720,0.53,0.04
52,145205,70251,5404,0.48,0.04
53,156101,72624,5819,0.47,0.04
54,167454,76034,6440,0.45,0.04
55,181574,78088,7126,0.43,0.04
56,197102,80840,7905,0.41,0.04
57,214821,83312,8733,0.39,0.04
58,242570,84975,9867,0.35,0.04
59,272208,87420,11299,0.32,0.04
60,304507,91692,12973,0.3,0.04
61,336953,97899,14651,0.29,0.04
62,378231,98351,16505,0.26,0.04
63,418041,108000,18625,0.26,0.04
64,467653,113787,21181,0.24,0.05
65,529591,122150,23970,0.23,0.05
66,593291,130915,27198,0.22,0.05
67,660693,139415,30652,0.21,0.05
68,720140,149082,33925,0.21,0.05
69,782389,164566,37582,0.21,0.05
70,857487,178034,42108,0.21,0.05
71,932475,193177,47183,0.21,0.05
72,1013326,210263,52986,0.21,0.05
73,1095698,225796,58790,0.21,0.05
74,1175857,246152,64607,0.21,0.05
75,1249484,260012,69374,0.21,0.06
76,1321131,276515,74565,0.21,0.06
77,1396092,300054,81937,0.21,0.06
78,1479804,328661,88347,0.22,0.06
79,1565278,353975,95521,0.23,0.06
80,1657526,376096,102534,0.23,0.06
81,1735650,402110,108511,0.23,0.06
82,1834721,421722,114100,0.23,0.06
83,1904838,448655,119491,0.24,0.06
84,1976191,474261,125995,0.24,0.06
85,2056054,511019,134189,0.25,0.07
86,2152437,542107,143814,0.25,0.07
87,2240190,568343,153835,0.25,0.07
88,2317758,592319,159509,0.26,0.07
89,2401101,623903,165043,0.26,0.07
90,2472258,645738,169985,0.26,0.07
91,2549122,679819,176582,0.27,0.07
92,2624089,709694,183064,0.27,0.07
