Order,Cases
1,1
2,4
3,4
4,5
5,5
6,6
7,7
8,7
9,9
10,9
11,10
12,10
13,10
14,11
15,12
16,12
17,14
18,15
19,15
20,16
21,16
22,17
23,18
24,18
25,19
26,20
27,22
28,23
29,24
30,24
31,25
32,31
33,33
34,33
35,39
36,39
37,39
38,43
39,50
40,51
41,54
42,56
43,57
44,60
45,65
46,65
47,67
48,69
49,75
50,79
51,81
52,84
53,94
54,99
55,107
56,111
57,114
58,119
59,120
60,121
61,122
62,138
63,147
64,160
65,208
66,218
67,223
68,237
69,246
70,254
71,256
72,268
73,281
74,289
75,304
76,312
77,328
78,332
79,377
80,402
81,422
82,425
83,431
84,449
85,462
86,477
87,510
88,535
89,564
90,568
91,581
92,584
93,622
94,648
95,662
96,665
97,677
98,712
99,717
100,739
101,772
102,846
103,847
104,884
105,929
106,1026
107,1042
108,1087
109,1163
110,1173
111,1225
112,1309
113,1326
114,1335
115,1339
116,1410
117,1436
118,1440
119,1535
120,1574
121,1627
122,1773
123,1852
124,1881
125,1907
126,1984
127,1995
128,2245
129,2548
130,2718
131,2792
132,2941
133,2948
134,3046
135,3300
136,3333
137,3558
138,3868
139,3977
140,4467
141,4964
142,5425
143,5710
144,6015
145,6264
146,6459
147,6547
148,6630
149,6760
150,6900
151,7156
152,7265
153,7711
154,8014
155,8261
156,8418
157,8936
158,9593
159,10128
160,10484
161,10507
162,10674
163,10797
164,13713
165,14777
166,14795
167,15652
168,16325
169,18539
170,20863
171,27944
172,33588
173,37657
174,39983
175,40743
176,47121
177,83505
178,83817
179,90980
180,125856
181,147065
182,156480
183,181228
184,200210
185,784326
